DANIEL,VIPER,6005
JORDAN,VIPER,5986
JOSH,VIPER,4956
JORDAN,VIPER,4095
ANDREW,VIPER,3901
DANIEL,VIPER,3194
JORDAN,VIPER,2336
B RICE,VIPER,2233
B RICE,A-WING,2099
TARA,A-WING,1802
